Date,Percent (%)
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,100.0
2020-02-20,100.0
2020-02-21,100.0
2020-02-22,100.0
2020-02-23,88.89
2020-02-24,80.0
2020-02-25,39.02
2020-02-26,43.18
2020-02-27,32.5
2020-02-28,31.78
2020-02-29,25.9
2020-03-01,23.58
2020-03-02,18.49
2020-03-03,15.04
2020-03-04,14.29
2020-03-05,12.75
2020-03-06,11.96
2020-03-07,7.99
2020-03-08,8.33
2020-03-09,9.01
2020-03-10,9.63
2020-03-11,10.69
2020-03-12,11.58
2020-03-13,12.71
2020-03-14,12.34
2020-03-15,13.62
2020-03-16,14.58
2020-03-17,15.49
2020-03-18,16.58
2020-03-19,17.68
2020-03-20,17.52
2020-03-21,16.93
2020-03-22,17.56
2020-03-23,17.79
2020-03-24,17.83
2020-03-25,17.75
2020-03-26,17.6
2020-03-27,17.6
2020-03-28,17.73
2020-03-29,17.56
2020-03-30,16.54
2020-03-31,16.51
2020-04-01,16.4
2020-04-02,15.9
2020-04-03,15.52
2020-04-04,14.89
2020-04-05,14.07
2020-04-06,13.37
2020-04-07,12.53
2020-04-08,11.81
2020-04-09,11.29
2020-04-10,10.66
2020-04-11,9.41
2020-04-12,9.25
2020-04-13,9.07
2020-04-14,8.87
2020-04-15,8.73
2020-04-16,8.53
2020-04-17,8.4
2020-04-18,8.25
2020-04-19,8.24
2020-04-20,8.08
2020-04-21,7.99
2020-04-22,7.87
2020-04-23,7.79
2020-04-24,7.72
2020-04-25,7.65
2020-04-26,7.58
2020-04-27,7.57
2020-04-28,7.5
2020-04-29,7.47
2020-04-30,7.43
2020-05-01,7.39
2020-05-02,7.37
2020-05-03,7.33
2020-05-04,7.33
2020-05-05,7.3
2020-05-06,7.29
2020-05-07,7.27
2020-05-08,7.24
2020-05-09,7.19
2020-05-10,7.16
2020-05-11,7.1
2020-05-12,7.08
2020-05-13,7.05
2020-05-14,7.04
2020-05-15,6.99
2020-05-16,6.93
2020-05-17,6.89
2020-05-18,6.87
2020-05-19,6.83
2020-05-20,6.78
2020-05-21,6.72
2020-05-22,6.66
2020-05-23,6.6
2020-05-24,6.55
2020-05-25,6.47
2020-05-26,6.42
2020-05-27,6.37
2020-05-28,6.32
2020-05-29,6.26
