Date,Currently Infected
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,1
2020-03-06,5
2020-03-07,6
2020-03-08,11
2020-03-09,17
2020-03-10,22
2020-03-11,31
2020-03-12,50
2020-03-13,66
2020-03-14,88
2020-03-15,109
2020-03-16,160
2020-03-17,220
2020-03-18,269
2020-03-19,337
2020-03-20,407
2020-03-21,518
2020-03-22,614
2020-03-23,728
2020-03-24,890
2020-03-25,1030
2020-03-26,1198
2020-03-27,1366
2020-03-28,1613
2020-03-29,1833
2020-03-30,2017
2020-03-31,2271
2020-04-01,2455
2020-04-02,2833
2020-04-03,3256
2020-04-04,3432
2020-04-05,3874
2020-04-06,4144
2020-04-07,4528
2020-04-08,4824
2020-04-09,5117
2020-04-10,5456
2020-04-11,5773
2020-04-12,6003
2020-04-13,6202
2020-04-14,6321
2020-04-15,6628
2020-04-16,6830
2020-04-17,7181
2020-04-18,7414
2020-04-19,7887
2020-04-20,8080
2020-04-21,8158
2020-04-22,8230
2020-04-23,8317
2020-04-24,8454
2020-04-25,8623
2020-04-26,8817
