Date,Percent (%)
2020-02-15,20.0
2020-02-16,20.0
2020-02-17,16.67
2020-02-18,12.5
2020-02-19,12.5
2020-02-20,12.5
2020-02-21,12.5
2020-02-22,9.09
2020-02-23,9.09
2020-02-24,8.33
2020-02-25,8.33
2020-02-26,15.38
2020-02-27,15.38
2020-02-28,15.38
2020-02-29,14.29
2020-03-01,14.29
2020-03-02,20.0
2020-03-03,25.0
2020-03-04,25.0
2020-03-05,36.84
2020-03-06,42.86
2020-03-07,57.14
2020-03-08,61.29
2020-03-09,71.43
2020-03-10,73.33
2020-03-11,80.0
2020-03-12,83.56
2020-03-13,86.81
2020-03-14,88.35
2020-03-15,91.37
2020-03-16,92.5
2020-03-17,22.52
2020-03-18,30.48
2020-03-19,22.32
2020-03-20,22.09
2020-03-21,26.15
2020-03-22,23.45
2020-03-23,28.1
2020-03-24,25.11
2020-03-25,25.44
2020-03-26,25.53
2020-03-27,25.93
2020-03-28,28.87
2020-03-29,26.57
2020-03-30,27.61
2020-03-31,27.17
2020-04-01,26.94
2020-04-02,30.24
2020-04-03,31.72
2020-04-04,32.87
2020-04-05,33.3
2020-04-06,34.06
2020-04-07,34.82
2020-04-08,33.84
2020-04-09,34.48
2020-04-10,34.61
2020-04-11,34.39
2020-04-12,34.62
2020-04-13,35.06
2020-04-14,35.32
2020-04-15,35.67
2020-04-16,35.32
2020-04-17,35.18
2020-04-18,34.94
2020-04-19,35.03
2020-04-20,35.14
2020-04-21,34.67
2020-04-22,34.42
2020-04-23,34.18
2020-04-24,33.84
2020-04-25,33.65
2020-04-26,33.73
2020-04-27,33.85
2020-04-28,33.54
2020-04-29,33.31
2020-04-30,33.01
2020-05-01,32.88
2020-05-02,32.87
2020-05-03,32.9
2020-05-04,32.91
2020-05-05,32.62
2020-05-06,32.35
2020-05-07,32.08
2020-05-08,31.98
2020-05-09,31.95
2020-05-10,31.94
2020-05-11,31.96
2020-05-12,31.84
2020-05-13,31.57
