Date,Currently Infected
2020-02-15,7
2020-02-16,7
2020-02-17,7
2020-02-18,7
2020-02-19,7
2020-02-20,6
2020-02-21,6
2020-02-22,6
2020-02-23,7
2020-02-24,8
2020-02-25,8
2020-02-26,9
2020-02-27,11
2020-02-28,12
2020-02-29,16
2020-03-01,20
2020-03-02,20
2020-03-03,23
2020-03-04,27
2020-03-05,29
2020-03-06,46
2020-03-07,52
2020-03-08,58
2020-03-09,68
2020-03-10,86
2020-03-11,100
2020-03-12,130
2020-03-13,186
2020-03-14,240
2020-03-15,329
2020-03-16,426
2020-03-17,578
2020-03-18,706
2020-03-19,850
2020-03-20,1061
2020-03-21,1295
2020-03-22,1436
2020-03-23,1747
2020-03-24,2654
2020-03-25,3188
2020-03-26,3776
2020-03-27,4348
2020-03-28,5199
2020-03-29,5682
2020-03-30,6266
2020-03-31,7269
2020-04-01,7881
2020-04-02,9131
2020-04-03,9981
2020-04-04,11086
2020-04-05,12290
2020-04-06,12728
2020-04-07,13488
2020-04-08,14463
2020-04-09,14945
2020-04-10,15566
2020-04-11,16237
2020-04-12,16494
2020-04-13,17144
2020-04-14,17925
2020-04-15,18390
2020-04-16,19182
2020-04-17,20074
2020-04-18,20706
2020-04-19,21626
2020-04-20,22553
2020-04-21,23400
2020-04-22,24230
2020-04-23,25202
2020-04-24,26117
2020-04-25,26464
2020-04-26,27014
2020-04-27,27525
2020-04-28,27977
2020-04-29,28274
2020-04-30,28629
2020-05-01,28919
2020-05-02,29347
2020-05-03,30884
2020-05-04,30901
2020-05-05,31010
2020-05-06,31093
2020-05-07,31542
2020-05-08,31459
2020-05-09,31760
2020-05-10,31882
2020-05-11,31994
2020-05-12,31946
2020-05-13,31812
